variant,accession,date,weight
A/Pakistan/306/2024|EPI_ISL_19678641,EPI_ISL_19243667,2024-05-07,1.0
A/Utah/39/2025|EPI_ISL_19843635,EPI_ISL_20084555,2025-06-04,1.0
other,EPI_ISL_19800518,2025-01-10,1.0
A/Qatar/83328/2024|EPI_ISL_19686976,EPI_ISL_19800522,2025-01-15,1.0
other,EPI_ISL_19706189,2024-12-20,1.0
A/Qatar/83328/2024|EPI_ISL_19686976,EPI_ISL_19706202,2024-12-20,1.0
A/Qatar/83328/2024|EPI_ISL_19686976,EPI_ISL_19632431,2024-11-27,1.0
other,EPI_ISL_19577197,2024-11-09,1.0
A/Saint-Petersburg/RII-04/2025|EPI_ISL_19812542,EPI_ISL_19208873,2024-05-20,1.0
other,EPI_ISL_19647178,2024-11-12,1.0
A/Vermont/10/2025|EPI_ISL_19746072,EPI_ISL_19355044,2024-07-06,1.0
A/TOKYO/EIS11-277/2024|EPI_ISL_19778363,EPI_ISL_19355020,2024-06-05,1.0
A/Saint-Petersburg/RII-04/2025|EPI_ISL_19812542,EPI_ISL_19355005,2024-06-06,1.0
A/TOKYO/EIS11-277/2024|EPI_ISL_19778363,EPI_ISL_19355024,2024-06-19,1.0
A/TOKYO/EIS11-277/2024|EPI_ISL_19778363,EPI_ISL_19355040,2024-06-23,1.0
A/TOKYO/EIS11-277/2024|EPI_ISL_19778363,EPI_ISL_19355032,2024-06-27,1.0
A/Saint-Petersburg/RII-04/2025|EPI_ISL_19812542,EPI_ISL_19355160,2024-07-01,1.0
A/Saint-Petersburg/RII-04/2025|EPI_ISL_19812542,EPI_ISL_19355035,2024-07-02,1.0
other,EPI_ISL_19355030,2024-07-09,1.0
other,EPI_ISL_19354988,2024-07-11,1.0
A/Oregon/11/2025|EPI_ISL_19726898,EPI_ISL_19647155,2024-11-06,1.0
A/Qatar/83328/2024|EPI_ISL_19686976,EPI_ISL_19647133,2024-11-07,1.0
other,EPI_ISL_19539344,2024-08-29,1.0
other,EPI_ISL_19539361,2024-08-30,1.0
other,EPI_ISL_19539329,2024-08-31,1.0
A/Saint-Petersburg/RII-04/2025|EPI_ISL_19812542,EPI_ISL_19539355,2024-09-02,1.0
A/Saint-Petersburg/RII-04/2025|EPI_ISL_19812542,EPI_ISL_19539346,2024-09-02,1.0
other,EPI_ISL_19539337,2024-09-03,1.0
A/Zacapa/FLU-012/2025|EPI_ISL_19726450,EPI_ISL_19539332,2024-09-09,1.0
other,EPI_ISL_19539363,2024-09-09,1.0
A/Colorado/218/2024|EPI_ISL_19628239,EPI_ISL_19539336,2024-09-11,1.0
other,EPI_ISL_19539362,2024-09-18,1.0
other,EPI_ISL_19539345,2024-09-20,1.0
A/Saint-Petersburg/RII-04/2025|EPI_ISL_19812542,EPI_ISL_19539364,2024-09-23,1.0
A/Zacapa/FLU-012/2025|EPI_ISL_19726450,EPI_ISL_19647135,2024-11-01,1.0
other,EPI_ISL_19208871,2024-04-24,1.0
A/Zacapa/FLU-012/2025|EPI_ISL_19726450,EPI_ISL_19647165,2024-11-11,1.0
other,EPI_ISL_19259513,2024-05-02,1.0
other,EPI_ISL_19208859,2024-05-03,1.0
other,EPI_ISL_19647162,2024-11-11,1.0
A/Zacapa/FLU-012/2025|EPI_ISL_19726450,EPI_ISL_19647144,2024-10-28,1.0
A/Saint-Petersburg/RII-04/2025|EPI_ISL_19812542,EPI_ISL_19208855,2024-05-13,1.0
A/Qatar/83328/2024|EPI_ISL_19686976,EPI_ISL_19647150,2024-11-12,1.0
A/TOKYO/EIS11-277/2024|EPI_ISL_19778363,EPI_ISL_19208866,2024-05-15,1.0
A/Qatar/83328/2024|EPI_ISL_19686976,EPI_ISL_19647151,2024-11-12,1.0
other,EPI_ISL_19208862,2024-05-16,1.0
other,EPI_ISL_19669656,2024-05-18,1.0
A/Saint-Petersburg/RII-04/2025|EPI_ISL_19812542,EPI_ISL_19709775,2024-05-20,1.0
A/Zacapa/FLU-012/2025|EPI_ISL_19726450,EPI_ISL_20095288,2025-01-09,1.0
A/Vermont/10/2025|EPI_ISL_19746072,EPI_ISL_19671289,2024-05-21,1.0
other,EPI_ISL_19671288,2024-05-20,1.0
A/TOKYO/EIS11-277/2024|EPI_ISL_19778363,EPI_ISL_19669655,2024-05-21,1.0
