variant,date,sequences
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-07-18,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-09-09,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-09-23,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-10-04,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-10-06,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-10-07,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-10-09,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-10-17,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-10-19,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-10-20,2.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-10-21,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-10-22,2.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-10-23,2.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-10-27,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-10-28,7.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-10-29,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-10-30,2.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-11-01,2.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-11-04,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-11-08,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-11-13,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-11-14,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-11-15,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-11-18,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-11-19,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-11-20,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-11-21,3.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-11-25,3.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-11-26,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-11-27,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-12-01,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-12-02,3.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-12-03,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-12-05,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-12-09,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-12-10,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-12-12,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-12-18,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-12-19,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-12-21,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-12-27,2.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-12-29,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-12-30,2.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2024-12-31,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-01-05,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-01-06,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-01-08,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-01-13,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-01-15,2.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-01-19,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-01-20,4.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-01-22,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-01-25,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-01-26,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-01-27,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-01-28,2.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-02-01,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-02-04,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-02-05,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-02-06,2.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-02-10,4.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-02-11,2.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-02-13,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-02-14,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-02-16,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-02-18,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-03-06,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-03-07,1.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-03-10,2.0
A/Bangkok/P176/2025|EPI_ISL_19696265,2025-03-17,1.0
A/Busan/277/2025|EPI_ISL_19794520,2024-11-23,1.0
A/Busan/277/2025|EPI_ISL_19794520,2024-12-10,1.0
A/Busan/277/2025|EPI_ISL_19794520,2024-12-14,1.0
A/Busan/277/2025|EPI_ISL_19794520,2024-12-20,1.0
A/Busan/277/2025|EPI_ISL_19794520,2024-12-23,1.0
