variant,accession,date,weight
other,EPI_ISL_19726637,2024-12-18,1.0
other,EPI_ISL_19628331,2024-09-27,1.0
other,EPI_ISL_19726636,2024-12-03,1.0
A/Vermont/10/2025|EPI_ISL_19746072,EPI_ISL_19726639,2024-12-17,1.0
other,EPI_ISL_19497259,2024-09-25,1.0
A/Vermont/10/2025|EPI_ISL_19746072,EPI_ISL_19726638,2024-12-09,1.0
A/Utah/39/2025|EPI_ISL_19843635,EPI_ISL_19726633,2024-11-25,1.0
other,EPI_ISL_19726632,2024-12-15,1.0
A/Zacapa/FLU-012/2025|EPI_ISL_19726450,EPI_ISL_19497260,2024-09-13,1.0
other,EPI_ISL_19726635,2024-12-17,1.0
A/TOKYO/EIS11-277/2024|EPI_ISL_19778363,EPI_ISL_19497263,2024-10-06,1.0
other,EPI_ISL_19726634,2024-12-10,1.0
A/Qatar/83328/2024|EPI_ISL_19686976,EPI_ISL_19497262,2024-09-22,1.0
A/Minnesota/131/2024|EPI_ISL_19628249,EPI_ISL_19726629,2024-12-23,1.0
A/Vermont/10/2025|EPI_ISL_19746072,EPI_ISL_19628323,2024-10-07,1.0
other,EPI_ISL_19726628,2024-12-19,1.0
A/Qatar/83328/2024|EPI_ISL_19686976,EPI_ISL_19726631,2024-12-19,1.0
A/Minnesota/131/2024|EPI_ISL_19628249,EPI_ISL_19726630,2024-12-22,1.0
other,EPI_ISL_19726625,2024-10-09,1.0
A/Saint-Petersburg/RII-04/2025|EPI_ISL_19812542,EPI_ISL_19726627,2024-08-19,1.0
A/Qinghai-Chengzhong/SWL1410/2024|EPI_ISL_19599394,EPI_ISL_19726626,2024-08-23,1.0
A/Vermont/10/2025|EPI_ISL_19746072,EPI_ISL_19497273,2024-09-26,1.0
other,EPI_ISL_19726652,2025-01-03,1.0
A/Pakistan/306/2024|EPI_ISL_19678641,EPI_ISL_19628346,2024-10-05,1.0
other,EPI_ISL_19497274,2024-09-28,1.0
A/Utah/39/2025|EPI_ISL_19843635,EPI_ISL_19726649,2024-12-09,1.0
A/Qatar/83328/2024|EPI_ISL_19686976,EPI_ISL_19497277,2024-09-19,1.0
A/TOKYO/EIS11-277/2024|EPI_ISL_19778363,EPI_ISL_19726648,2024-11-29,1.0
other,EPI_ISL_19726651,2024-12-18,1.0
A/Vermont/10/2025|EPI_ISL_19746072,EPI_ISL_19497279,2024-10-02,1.0
A/Wisconsin/NIRC-IS-1111/2025|EPI_ISL_19792476,EPI_ISL_19726650,2025-01-04,1.0
other,EPI_ISL_19726645,2024-11-10,1.0
A/Qatar/83328/2024|EPI_ISL_19686976,EPI_ISL_19497265,2024-09-25,1.0
A/Qatar/83328/2024|EPI_ISL_19686976,EPI_ISL_19726644,2024-12-07,1.0
other,EPI_ISL_19726647,2024-12-18,1.0
other,EPI_ISL_19497267,2024-09-19,1.0
A/TOKYO/EIS11-277/2024|EPI_ISL_19778363,EPI_ISL_19726646,2024-12-09,1.0
A/Vermont/10/2025|EPI_ISL_19746072,EPI_ISL_19726641,2024-12-10,1.0
other,EPI_ISL_19628343,2024-10-11,1.0
A/Vermont/10/2025|EPI_ISL_19746072,EPI_ISL_19726640,2024-12-12,1.0
