name,div,date,clade_membership,subclade,accession_ha,country,haplotype
A/Madagascar/00003/2025,,2024-12-24,,C.1.8,EPI3879668,Madagascar,C.1.8:I96T-I47V-R45K
A/Uganda/UVRI_KIS6850_2024,,2024-11-13,,C.1.9,EPI4111032,Uganda,C.1.9:K36N-P137S
A/Hong Kong/GIHSN-HKU-250324-011/2025,,2025-02-26,,C.1.9,EPI4177314,Hong Kong,C.1.9:P137S-S143G-V321I
A/Bangkok/P381/2025,,2025-03-04,,C.1.9,EPI4147614,Thailand,C.1.9:R205K
A/South Australia/2502313775/2025,,2025-01-23,,C.1.9,EPI4024663,Australia,C.1.9:T216A-A73V
A/South Australia/2504506729/2025,,2025-02-14,,C.1.9,EPI4024503,Australia,C.1.9:A120E-P137S
A/Hong Kong/GIHSN-HKU-250324-005/2025,,2025-02-06,,C.1.9,EPI4177267,Hong Kong,C.1.9:K209M
A/PA/DE-DHSS-1205/2025 (H1N1),,2025-03-04,,C.1.9,EPI4123997,Usa,C.1.9:S83P
A/TOKYO/EIS11-277/2024,,2024-12-20,,C.1.9,EPI4103464,Japan,C.1.9:P137S
A/Wisconsin/NIRC-IS-1111/2025,,2025-02-13,,C.1.9,EPI4150198,Usa,C.1.9:P137S-E68G
A/Wisconsin/30/2025,,2025-01-30,,C.1.9.1,EPI4011171,Usa,C.1.9.1:P271Q
A/KANAGAWA/AC2408/2025,,2025-02-03,,C.1.9.2,EPI4103389,Japan,C.1.9.2:R205K-P137S-T270A-G155E
A/Nevada/189/2024,,2024-10-21,,C.1.9.2,EPI3671281,Usa,C.1.9.2:A141E
A/Iowa/123/2024,,2024-11-11,,C.1.9.3,EPI3732833,Usa,C.1.9.3:E283Q
A/Washington/15680/2025,,2025-02-25,,C.1.9.3,EPI4128633,Usa,C.1.9.3:S69P
A/Delaware/07/2025,,2025-01-11,,C.1.9.3,EPI3952366,Usa,C.1.9.3:S143G
A/Hong Kong/GIHSN-HKU-250324-012/2025,,2025-02-26,,C.1.9.3,EPI4177322,Hong Kong,C.1.9.3:A141T
A/Washington/UW-38432/2024,,2024-11-26,,C.1.9.3,EPI4077558,Usa,C.1.9.3:A73E
A/Oregon/280/2024,,2024-12-19,,C.1.9.3,EPI3950233,Usa,C.1.9.3:I166V
A/Tennessee/04/2025,,2025-01-05,,C.1.9.3,EPI3950515,Usa,C.1.9.3:I166V-I149V-A139T
A/Ohio/259/2024,,2024-10-03,,C.1.9.4,EPI3636277,Usa,C.1.9.4:V152I
A/Vermont/05/2025,,2025-01-06,,D,EPI3952278,Usa,D:V152I-R308K
A/Santiago/101713/2024,,2024-12-18,,D,EPI4047353,Chile,D:V152I-R308K-I149V
A/Hong Kong/GIHSN-HKU-250324-001/2025,,2025-01-23,,D.1,EPI4177236,Hong Kong,D.1:L157M-V47A
A/Massachusetts/ISC-1679/2025,,2025-03-02,,D.3,EPI4145013,Usa,D.3
A/Wisconsin/NIRC-IS-1127/2025,,2025-03-02,,D.3,EPI4150483,Usa,D.3:R113K
A/Vermont/10/2025,,2025-01-14,,D.5,EPI4010897,Usa,D.5
