variant,accession,date,weight
other,EPI_ISL_19742194,2024-12-27,1.0
other,EPI_ISL_19647078,2024-11-13,1.0
other,EPI_ISL_19647067,2024-11-12,1.0
other,EPI_ISL_19355306,2024-06-07,1.0
other,EPI_ISL_19355336,2024-06-20,1.0
other,EPI_ISL_19355322,2024-06-20,1.0
other,EPI_ISL_19355338,2024-06-26,1.0
A/Queensland/IN000692/2024|EPI_ISL_19664768,EPI_ISL_19355296,2024-06-26,1.0
A/Minnesota/133/2024|EPI_ISL_19628109,EPI_ISL_19355316,2024-06-29,1.0
A/Minnesota/133/2024|EPI_ISL_19628109,EPI_ISL_19539083,2024-09-03,1.0
A/Victoria/46/2024|EPI_ISL_18876538,EPI_ISL_19539093,2024-09-07,1.0
other,EPI_ISL_19647065,2024-11-08,1.0
other,EPI_ISL_19647084,2024-11-08,1.0
A/Victoria/46/2024|EPI_ISL_18876538,EPI_ISL_19539074,2024-09-20,1.0
other,EPI_ISL_19539096,2024-09-23,1.0
A/Indiana/46/2024|EPI_ISL_19628119,EPI_ISL_19539087,2024-09-23,1.0
other,EPI_ISL_19208707,2024-04-24,1.0
other,EPI_ISL_19208704,2024-04-26,1.0
other,EPI_ISL_19208703,2024-05-04,1.0
other,EPI_ISL_19208705,2024-05-05,1.0
other,EPI_ISL_19647074,2024-11-10,1.0
other,EPI_ISL_19208702,2024-05-15,1.0
other,EPI_ISL_19904877,2025-01-09,1.0
other,EPI_ISL_19904878,2025-01-07,1.0
other,EPI_ISL_19904879,2025-01-09,1.0
other,EPI_ISL_19671548,2024-06-06,1.0
other,EPI_ISL_19671554,2024-06-07,1.0
other,EPI_ISL_19904880,2025-01-16,1.0
other,EPI_ISL_19671549,2024-06-08,1.0
other,EPI_ISL_19671553,2024-06-05,1.0
other,EPI_ISL_19904881,2025-01-16,1.0
other,EPI_ISL_19904882,2025-01-16,1.0
other,EPI_ISL_19709657,2024-06-20,1.0
other,EPI_ISL_19671555,2024-06-20,1.0
other,EPI_ISL_19671557,2024-06-26,1.0
A/Pennsylvania/288/2024|EPI_ISL_19646959,EPI_ISL_19904883,2025-01-14,1.0
A/Queensland/IN000692/2024|EPI_ISL_19664768,EPI_ISL_19671556,2024-06-26,1.0
other,EPI_ISL_19709662,2024-06-27,1.0
A/Minnesota/133/2024|EPI_ISL_19628109,EPI_ISL_19671558,2024-06-29,1.0
other,EPI_ISL_19671550,2024-07-02,1.0
other,EPI_ISL_19671551,2024-07-01,1.0
A/Queensland/IN000692/2024|EPI_ISL_19664768,EPI_ISL_19671323,2024-06-26,1.0
other,EPI_ISL_19709655,2024-07-03,1.0
other,EPI_ISL_19709658,2024-07-04,1.0
other,EPI_ISL_19904884,2025-01-17,1.0
other,EPI_ISL_19904885,2025-01-15,1.0
A/Pennsylvania/288/2024|EPI_ISL_19646959,EPI_ISL_19904886,2025-01-15,1.0
A/Pennsylvania/288/2024|EPI_ISL_19646959,EPI_ISL_19904887,2025-01-16,1.0
other,EPI_ISL_19709659,2024-07-11,1.0
other,EPI_ISL_19709691,2024-07-13,1.0
other,EPI_ISL_19709660,2024-07-15,1.0
A/Minnesota/133/2024|EPI_ISL_19628109,EPI_ISL_19709688,2024-07-08,1.0
A/Victoria/46/2024|EPI_ISL_18876538,EPI_ISL_19709689,2024-07-22,1.0
other,EPI_ISL_19709695,2024-07-16,1.0
A/Queensland/IN000692/2024|EPI_ISL_19664768,EPI_ISL_19709692,2024-07-24,1.0
A/Maldives/2147/2024|EPI_ISL_19727787,EPI_ISL_19709690,2024-07-24,1.0
other,EPI_ISL_19709650,2024-07-24,1.0
A/Victoria/46/2024|EPI_ISL_18876538,EPI_ISL_19709639,2024-07-28,1.0
A/Victoria/46/2024|EPI_ISL_18876538,EPI_ISL_19709694,2024-07-28,1.0
A/Victoria/46/2024|EPI_ISL_18876538,EPI_ISL_19709693,2024-07-28,1.0
other,EPI_ISL_19709648,2024-07-22,1.0
other,EPI_ISL_19904888,2025-01-18,1.0
other,EPI_ISL_19709641,2024-08-01,1.0
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19709640,2024-08-02,1.0
other,EPI_ISL_19904989,2024-08-05,1.0
other,EPI_ISL_19904990,2024-08-05,1.0
A/Victoria/46/2024|EPI_ISL_18876538,EPI_ISL_19709642,2024-08-04,1.0
other,EPI_ISL_19904991,2024-08-06,1.0
A/Maldives/2147/2024|EPI_ISL_19727787,EPI_ISL_19904889,2025-01-19,1.0
other,EPI_ISL_19709637,2024-08-07,1.0
other,EPI_ISL_20098101,2025-06-27,1.0
other,EPI_ISL_19904992,2024-08-08,1.0
other,EPI_ISL_19709649,2024-08-01,1.0
A/Massachusetts/93/2024|EPI_ISL_19646975,EPI_ISL_19904993,2024-08-09,1.0
A/Massachusetts/93/2024|EPI_ISL_19646975,EPI_ISL_19709634,2024-08-09,1.0
other,EPI_ISL_19709643,2024-08-08,1.0
A/Queensland/IN000692/2024|EPI_ISL_19664768,EPI_ISL_19709644,2024-08-10,1.0
other,EPI_ISL_19709635,2024-08-15,1.0
other,EPI_ISL_19709645,2024-08-14,1.0
other,EPI_ISL_19709646,2024-08-18,1.0
other,EPI_ISL_19904890,2025-01-20,1.0
other,EPI_ISL_19709652,2024-08-18,1.0
other,EPI_ISL_19709651,2024-08-14,1.0
other,EPI_ISL_19709636,2024-08-20,1.0
other,EPI_ISL_19709647,2024-08-20,1.0
A/Minnesota/133/2024|EPI_ISL_19628109,EPI_ISL_19709653,2024-08-20,1.0
A/Maldives/2186/2024|EPI_ISL_19727752,EPI_ISL_19709638,2024-08-23,1.0
other,EPI_ISL_19709654,2024-08-20,1.0
A/Switzerland/860423897313/2023|EPI_ISL_19654915,EPI_ISL_19904841,2025-01-06,1.0
other,EPI_ISL_19904891,2025-01-21,1.0
A/Texas/ISC-1148/2025|EPI_ISL_19759499,EPI_ISL_19709661,2024-08-24,1.0
other,EPI_ISL_19711879,2024-08-18,1.0
other,EPI_ISL_19711891,2024-08-26,1.0
other,EPI_ISL_19711846,2024-08-25,1.0
other,EPI_ISL_19711892,2024-08-28,1.0
other,EPI_ISL_19711894,2024-08-29,1.0
A/Pennsylvania/288/2024|EPI_ISL_19646959,EPI_ISL_19711893,2024-08-29,1.0
other,EPI_ISL_19711895,2024-09-01,1.0
other,EPI_ISL_19711896,2024-09-02,1.0
A/Minnesota/133/2024|EPI_ISL_19628109,EPI_ISL_19711804,2024-09-03,1.0
other,EPI_ISL_19904842,2025-01-03,1.0
other,EPI_ISL_19711897,2024-09-04,1.0
other,EPI_ISL_19904892,2025-01-19,1.0
other,EPI_ISL_19711898,2024-09-06,1.0
other,EPI_ISL_19711899,2024-09-05,1.0
A/Minnesota/97/2024|EPI_ISL_19445320,EPI_ISL_19711805,2024-09-08,1.0
other,EPI_ISL_19711900,2024-09-08,1.0
other,EPI_ISL_19904843,2025-01-03,1.0
other,EPI_ISL_19711850,2024-09-09,1.0
other,EPI_ISL_19711848,2024-09-09,1.0
other,EPI_ISL_19711903,2024-09-11,1.0
other,EPI_ISL_19711902,2024-09-11,1.0
other,EPI_ISL_19711904,2024-09-11,1.0
A/Minnesota/97/2024|EPI_ISL_19445320,EPI_ISL_19711806,2024-09-11,1.0
other,EPI_ISL_19711901,2024-09-10,1.0
other,EPI_ISL_19709182,2024-09-14,1.0
other,EPI_ISL_19904893,2025-01-22,1.0
other,EPI_ISL_19711905,2024-09-14,1.0
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19711807,2024-09-15,1.0
A/Victoria/46/2024|EPI_ISL_18876538,EPI_ISL_19711808,2024-09-16,1.0
A/Minnesota/97/2024|EPI_ISL_19445320,EPI_ISL_19711809,2024-09-17,1.0
A/Nevada/216/2024|EPI_ISL_19628198,EPI_ISL_19711906,2024-09-18,1.0
other,EPI_ISL_19711908,2024-09-19,1.0
A/Victoria/46/2024|EPI_ISL_18876538,EPI_ISL_19711910,2024-09-20,1.0
other,EPI_ISL_19711909,2024-09-20,1.0
other,EPI_ISL_19711907,2024-09-19,1.0
other,EPI_ISL_19711811,2024-09-21,1.0
A/Victoria/46/2024|EPI_ISL_18876538,EPI_ISL_19711812,2024-09-22,1.0
other,EPI_ISL_19711911,2024-09-22,1.0
other,EPI_ISL_19711810,2024-09-23,1.0
other,EPI_ISL_19711912,2024-09-24,1.0
A/Victoria/46/2024|EPI_ISL_18876538,EPI_ISL_19711916,2024-09-24,1.0
other,EPI_ISL_19711917,2024-09-24,1.0
other,EPI_ISL_19711915,2024-09-24,1.0
other,EPI_ISL_19711914,2024-09-25,1.0
other,EPI_ISL_19711913,2024-05-22,1.0
other,EPI_ISL_19711918,2024-09-25,1.0
other,EPI_ISL_19711919,2024-09-25,1.0
other,EPI_ISL_19711814,2024-09-26,1.0
other,EPI_ISL_19711817,2024-09-26,1.0
other,EPI_ISL_19711920,2024-09-29,1.0
other,EPI_ISL_19904894,2025-01-20,1.0
A/Massachusetts/93/2024|EPI_ISL_19646975,EPI_ISL_19904895,2025-01-20,1.0
A/Massachusetts/93/2024|EPI_ISL_19646975,EPI_ISL_19711922,2024-10-02,1.0
other,EPI_ISL_19711921,2024-10-03,1.0
A/Queensland/IN000692/2024|EPI_ISL_19664768,EPI_ISL_19711819,2024-10-05,1.0
other,EPI_ISL_19711852,2024-10-04,1.0
other,EPI_ISL_19711923,2024-10-09,1.0
other,EPI_ISL_19904896,2025-01-22,1.0
other,EPI_ISL_19711854,2024-10-02,1.0
other,EPI_ISL_19711853,2024-10-02,1.0
other,EPI_ISL_19711823,2024-10-09,1.0
A/Queensland/IN000692/2024|EPI_ISL_19664768,EPI_ISL_19711821,2024-10-10,1.0
other,EPI_ISL_19904994,2024-10-10,1.0
A/Indiana/46/2024|EPI_ISL_19628119,EPI_ISL_19711824,2024-10-14,1.0
other,EPI_ISL_19711924,2024-10-12,1.0
other,EPI_ISL_19904995,2024-10-13,1.0
other,EPI_ISL_19904996,2024-10-14,1.0
other,EPI_ISL_19711857,2024-10-04,1.0
A/Washington/284/2024|EPI_ISL_19628073,EPI_ISL_19711859,2024-10-05,1.0
A/Maldives/2186/2024|EPI_ISL_19727752,EPI_ISL_19711855,2024-10-11,1.0
