variant,accession,date,weight
A/Victoria/46/2024|EPI_ISL_18876538,EPI_ISL_19497257,2024-09-16,1.0
other,EPI_ISL_19497256,2024-09-21,1.0
other,EPI_ISL_19497258,2024-09-20,1.0
other,EPI_ISL_19497272,2024-09-21,1.0
A/Maldives/2186/2024|EPI_ISL_19727752,EPI_ISL_19497275,2024-10-05,1.0
A/Minnesota/133/2024|EPI_ISL_19628109,EPI_ISL_19497278,2024-10-04,1.0
A/Texas/ISC-1148/2025|EPI_ISL_19759499,EPI_ISL_19497270,2024-09-23,1.0
A/Massachusetts/93/2024|EPI_ISL_19646975,EPI_ISL_19529985,2024-10-11,1.0
other,EPI_ISL_19202407,2024-04-18,1.0
other,EPI_ISL_19202406,2024-04-10,1.0
A/Saskatchewan/RV04835/2024|EPI_ISL_19565825,EPI_ISL_19300719,2024-06-03,1.0
other,EPI_ISL_19202409,2024-04-16,1.0
A/Colombia/7681/2024|EPI_ISL_19628089,EPI_ISL_19202408,2024-04-12,0.1
A/Tennessee/99/2024|EPI_ISL_19628042,EPI_ISL_19202408,2024-04-12,0.1
A/Texas/ISC-1148/2025|EPI_ISL_19759499,EPI_ISL_19202408,2024-04-12,0.1
A/New_York/191/2024|EPI_ISL_19586926,EPI_ISL_19202408,2024-04-12,0.1
A/Massachusetts/93/2024|EPI_ISL_19646975,EPI_ISL_19202408,2024-04-12,0.1
A/Santa_Catarina/333/2025|EPI_ISL_19786875,EPI_ISL_19202408,2024-04-12,0.1
A/Victoria/46/2024|EPI_ISL_18876538,EPI_ISL_19202408,2024-04-12,0.1
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19202408,2024-04-12,0.1
A/Lisboa/216/2023|EPI_ISL_18913575,EPI_ISL_19202408,2024-04-12,0.1
A/Slovenia/49/2024|EPI_ISL_19192381,EPI_ISL_19202408,2024-04-12,0.1
A/Minnesota/133/2024|EPI_ISL_19628109,EPI_ISL_19202411,2024-04-08,1.0
other,EPI_ISL_19202410,2024-04-15,1.0
A/Kentucky/57/2024|EPI_ISL_19628043,EPI_ISL_19759485,2024-09-24,0.5
A/Massachusetts/ISC-1684/2025|EPI_ISL_19790438,EPI_ISL_19759485,2024-09-24,0.5
A/Texas/ISC-1148/2025|EPI_ISL_19759499,EPI_ISL_19759484,2025-01-05,1.0
A/Kentucky/57/2024|EPI_ISL_19628043,EPI_ISL_19759487,2025-01-05,0.5
A/Massachusetts/ISC-1684/2025|EPI_ISL_19790438,EPI_ISL_19759487,2025-01-05,0.5
other,EPI_ISL_19759486,2024-09-29,1.0
A/Indiana/46/2024|EPI_ISL_19628119,EPI_ISL_19300722,2024-07-04,1.0
other,EPI_ISL_19759483,2024-12-30,1.0
A/Indiana/46/2024|EPI_ISL_19628119,EPI_ISL_19300720,2024-06-27,1.0
A/Kentucky/57/2024|EPI_ISL_19628043,EPI_ISL_19759482,2024-10-11,0.5
A/Massachusetts/ISC-1684/2025|EPI_ISL_19790438,EPI_ISL_19759482,2024-10-11,0.5
other,EPI_ISL_19300721,2024-07-04,1.0
A/Minnesota/133/2024|EPI_ISL_19628109,EPI_ISL_19497288,2024-07-15,1.0
A/Maldives/2186/2024|EPI_ISL_19727752,EPI_ISL_19497281,2024-10-02,1.0
A/Queensland/IN000692/2024|EPI_ISL_19664768,EPI_ISL_19497287,2024-06-20,1.0
A/BurkinaFaso/3131/2023|EPI_ISL_19093570,EPI_ISL_19497301,2024-07-31,1.0
A/Texas/ISC-1148/2025|EPI_ISL_19759499,EPI_ISL_19759533,2025-02-05,1.0
A/Massachusetts/93/2024|EPI_ISL_19646975,EPI_ISL_19759532,2025-01-20,1.0
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19759535,2025-02-04,1.0
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19759534,2025-02-04,1.0
A/Texas/ISC-1148/2025|EPI_ISL_19759499,EPI_ISL_19759529,2025-02-04,1.0
other,EPI_ISL_19759528,2025-02-05,1.0
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19759531,2025-02-04,1.0
A/Michigan/120/2024|EPI_ISL_19628034,EPI_ISL_19759530,2025-02-06,1.0
A/Vermont/13/2025|EPI_ISL_19759256,EPI_ISL_19759525,2025-02-05,0.3333333333333333
A/Massachusetts/93/2024|EPI_ISL_19646975,EPI_ISL_19759525,2025-02-05,0.3333333333333333
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19759525,2025-02-05,0.3333333333333333
A/Texas/ISC-1148/2025|EPI_ISL_19759499,EPI_ISL_19759524,2025-02-05,1.0
A/Massachusetts/93/2024|EPI_ISL_19646975,EPI_ISL_19759527,2025-01-18,1.0
other,EPI_ISL_19759526,2025-02-05,1.0
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19759521,2025-02-04,1.0
A/Victoria/46/2024|EPI_ISL_18876538,EPI_ISL_19759520,2025-02-06,1.0
A/Texas/ISC-1148/2025|EPI_ISL_19759499,EPI_ISL_19759523,2025-02-04,1.0
A/Rhode_Island/15446/2025|EPI_ISL_19774046,EPI_ISL_19759522,2025-02-02,1.0
A/Kentucky/57/2024|EPI_ISL_19628043,EPI_ISL_19759549,2025-02-04,0.5
A/Massachusetts/ISC-1684/2025|EPI_ISL_19790438,EPI_ISL_19759549,2025-02-04,0.5
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19759548,2025-02-09,1.0
A/Texas/ISC-1342/2025|EPI_ISL_19759886,EPI_ISL_19759551,2025-01-29,1.0
A/Michigan/120/2024|EPI_ISL_19628034,EPI_ISL_19759550,2025-02-10,1.0
other,EPI_ISL_19759545,2025-01-29,1.0
A/Colombia/7681/2024|EPI_ISL_19628089,EPI_ISL_19628479,2024-11-03,0.1
A/Tennessee/99/2024|EPI_ISL_19628042,EPI_ISL_19628479,2024-11-03,0.1
A/Texas/ISC-1148/2025|EPI_ISL_19759499,EPI_ISL_19628479,2024-11-03,0.1
A/New_York/191/2024|EPI_ISL_19586926,EPI_ISL_19628479,2024-11-03,0.1
A/Massachusetts/93/2024|EPI_ISL_19646975,EPI_ISL_19628479,2024-11-03,0.1
A/Santa_Catarina/333/2025|EPI_ISL_19786875,EPI_ISL_19628479,2024-11-03,0.1
A/Victoria/46/2024|EPI_ISL_18876538,EPI_ISL_19628479,2024-11-03,0.1
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19628479,2024-11-03,0.1
A/Lisboa/216/2023|EPI_ISL_18913575,EPI_ISL_19628479,2024-11-03,0.1
A/Slovenia/49/2024|EPI_ISL_19192381,EPI_ISL_19628479,2024-11-03,0.1
A/Minnesota/133/2024|EPI_ISL_19628109,EPI_ISL_19759544,2025-02-04,1.0
A/Victoria/46/2024|EPI_ISL_18876538,EPI_ISL_19759547,2025-02-05,1.0
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19759546,2025-02-03,1.0
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19759541,2025-02-08,1.0
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19759540,2025-02-04,1.0
A/Massachusetts/93/2024|EPI_ISL_19646975,EPI_ISL_19759543,2025-02-06,1.0
A/Massachusetts/93/2024|EPI_ISL_19646975,EPI_ISL_19759542,2025-01-28,1.0
A/Massachusetts/93/2024|EPI_ISL_19646975,EPI_ISL_19759537,2025-01-28,1.0
A/Texas/ISC-1322/2025|EPI_ISL_19759740,EPI_ISL_19759536,2025-02-04,1.0
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19759539,2025-01-25,1.0
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19759538,2025-02-07,1.0
A/Texas/ISC-1148/2025|EPI_ISL_19759499,EPI_ISL_19759501,2025-01-10,1.0
A/Queensland/IN000692/2024|EPI_ISL_19664768,EPI_ISL_19759500,2025-01-04,1.0
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19759503,2025-02-09,1.0
A/Colombia/1851/2024|EPI_ISL_19727802,EPI_ISL_19759502,2025-01-26,1.0
other,EPI_ISL_19759497,2024-10-08,1.0
other,EPI_ISL_19759496,2024-09-29,1.0
A/Texas/ISC-1148/2025|EPI_ISL_19759499,EPI_ISL_19759499,2025-01-13,1.0
other,EPI_ISL_19497359,2024-08-01,1.0
A/Massachusetts/93/2024|EPI_ISL_19646975,EPI_ISL_19759498,2025-01-04,1.0
A/Queensland/IN000692/2024|EPI_ISL_19664768,EPI_ISL_19497358,2024-07-31,1.0
A/Kentucky/57/2024|EPI_ISL_19628043,EPI_ISL_19759493,2024-09-20,0.5
A/Massachusetts/ISC-1684/2025|EPI_ISL_19790438,EPI_ISL_19759493,2024-09-20,0.5
A/Victoria/46/2024|EPI_ISL_18876538,EPI_ISL_19759492,2024-10-01,1.0
other,EPI_ISL_19759495,2025-01-06,1.0
A/Massachusetts/93/2024|EPI_ISL_19646975,EPI_ISL_19759494,2024-10-07,1.0
A/Victoria/46/2024|EPI_ISL_18876538,EPI_ISL_19759489,2024-09-29,1.0
A/Tennessee/99/2024|EPI_ISL_19628042,EPI_ISL_19759488,2024-12-29,1.0
A/Kentucky/57/2024|EPI_ISL_19628043,EPI_ISL_19759491,2025-01-05,0.5
A/Massachusetts/ISC-1684/2025|EPI_ISL_19790438,EPI_ISL_19759491,2025-01-05,0.5
A/Colorado/ISC-1416/2024|EPI_ISL_19628516,EPI_ISL_19759490,2024-10-20,0.5
A/Victoria/46/2024|EPI_ISL_18876538,EPI_ISL_19759490,2024-10-20,0.5
A/Punta_Arenas/83659/2024|EPI_ISL_19652846,EPI_ISL_19759517,2025-02-04,1.0
A/Victoria/46/2024|EPI_ISL_18876538,EPI_ISL_19759516,2025-01-23,1.0
A/Kentucky/57/2024|EPI_ISL_19628043,EPI_ISL_19759519,2025-02-09,0.5
A/Massachusetts/ISC-1684/2025|EPI_ISL_19790438,EPI_ISL_19759519,2025-02-09,0.5
A/Texas/ISC-1148/2025|EPI_ISL_19759499,EPI_ISL_19759518,2025-02-03,1.0
A/Texas/ISC-1148/2025|EPI_ISL_19759499,EPI_ISL_19759513,2025-02-03,1.0
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19759512,2025-02-04,1.0
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19759515,2025-02-07,1.0
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19759514,2025-02-08,1.0
A/Vermont/13/2025|EPI_ISL_19759256,EPI_ISL_19759509,2025-02-08,1.0
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19759508,2025-02-05,1.0
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19759511,2025-02-05,1.0
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19759510,2025-02-07,1.0
A/Massachusetts/93/2024|EPI_ISL_19646975,EPI_ISL_19759505,2025-02-05,1.0
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19759504,2025-02-03,1.0
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19759507,2025-02-04,1.0
A/Texas/ISC-1148/2025|EPI_ISL_19759499,EPI_ISL_19759506,2025-02-04,1.0
A/Colorado/ISC-1416/2024|EPI_ISL_19628516,EPI_ISL_19628523,2024-11-23,1.0
A/Texas/ISC-1148/2025|EPI_ISL_19759499,EPI_ISL_19759596,2025-02-11,1.0
A/Queensland/IN000692/2024|EPI_ISL_19664768,EPI_ISL_19628522,2024-11-10,1.0
A/Colorado/ISC-1416/2024|EPI_ISL_19628516,EPI_ISL_19628521,2024-11-06,1.0
A/Texas/ISC-1148/2025|EPI_ISL_19759499,EPI_ISL_19759598,2025-02-01,1.0
A/Colorado/ISC-1416/2024|EPI_ISL_19628516,EPI_ISL_19628520,2024-11-11,1.0
A/Victoria/46/2024|EPI_ISL_18876538,EPI_ISL_19366372,2024-05-05,1.0
A/Texas/ISC-1274/2025|EPI_ISL_19759743,EPI_ISL_19628527,2024-11-13,1.0
A/Texas/ISC-1148/2025|EPI_ISL_19759499,EPI_ISL_19759592,2025-02-09,1.0
A/Colorado/ISC-1416/2024|EPI_ISL_19628516,EPI_ISL_19628526,2024-11-10,1.0
A/Queensland/IN000692/2024|EPI_ISL_19664768,EPI_ISL_19628525,2024-11-05,1.0
A/Kentucky/57/2024|EPI_ISL_19628043,EPI_ISL_19759594,2025-02-07,0.5
A/Massachusetts/ISC-1684/2025|EPI_ISL_19790438,EPI_ISL_19759594,2025-02-07,0.5
A/Queensland/IN000692/2024|EPI_ISL_19664768,EPI_ISL_19628524,2024-11-09,1.0
A/Colorado/ISC-1416/2024|EPI_ISL_19628516,EPI_ISL_19628515,2024-11-09,1.0
A/Queensland/IN000692/2024|EPI_ISL_19664768,EPI_ISL_19759588,2025-01-29,1.0
A/Colorado/ISC-1416/2024|EPI_ISL_19628516,EPI_ISL_19628514,2024-11-10,1.0
A/Colorado/ISC-1416/2024|EPI_ISL_19628516,EPI_ISL_19628513,2024-11-14,1.0
A/Texas/ISC-1148/2025|EPI_ISL_19759499,EPI_ISL_19759590,2025-01-19,1.0
A/Colorado/ISC-1416/2024|EPI_ISL_19628516,EPI_ISL_19628512,2024-11-10,1.0
A/Colorado/ISC-1416/2024|EPI_ISL_19628516,EPI_ISL_19628519,2024-11-03,1.0
A/Michigan/120/2024|EPI_ISL_19628034,EPI_ISL_19759584,2025-01-21,1.0
A/Colorado/ISC-1416/2024|EPI_ISL_19628516,EPI_ISL_19628518,2024-11-11,1.0
A/Colorado/ISC-1416/2024|EPI_ISL_19628516,EPI_ISL_19628517,2024-11-06,1.0
other,EPI_ISL_19759586,2025-01-19,1.0
A/Colorado/ISC-1416/2024|EPI_ISL_19628516,EPI_ISL_19628516,2024-10-02,1.0
A/Texas/ISC-1148/2025|EPI_ISL_19759499,EPI_ISL_19759613,2025-02-03,1.0
A/Wisconsin/172/2024|EPI_ISL_19628110,EPI_ISL_19628539,2024-11-23,1.0
A/Kentucky/57/2024|EPI_ISL_19628043,EPI_ISL_19759612,2025-02-09,0.5
A/Massachusetts/ISC-1684/2025|EPI_ISL_19790438,EPI_ISL_19759612,2025-02-09,0.5
A/Massachusetts/93/2024|EPI_ISL_19646975,EPI_ISL_19628538,2024-11-19,1.0
A/Kentucky/57/2024|EPI_ISL_19628043,EPI_ISL_19759615,2025-02-09,0.5
A/Massachusetts/ISC-1684/2025|EPI_ISL_19790438,EPI_ISL_19759615,2025-02-09,0.5
A/Colorado/ISC-1416/2024|EPI_ISL_19628516,EPI_ISL_19628537,2024-11-25,1.0
